Time,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,proton_xvelocity,proton_yvelocity,proton_zvelocity,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos,composite_flux_th1,composite_flux_th2,composite_flux,alpha_proton_ratio,velocity_magnitude
2025-07-03 00:09:06.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.4641331213995983,-3.4591794219370016,1275554.4772753934,251694.3327506229,-97242.1978598357,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:11.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-7.087180712743823,-3.1242357033197123,1275554.4774036657,251695.6818471129,-97242.09662917926,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:16.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-9.363638444712793,-4.9813214707872575,1275554.4775323924,251697.03083379785,-97241.9954060649,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:21.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.801973226315568,-3.2130790339174027,1275554.4776615663,251698.3799265086,-97241.89417430368,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:26.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-13.320645594724816,-2.5323795036261885,1275554.4777911054,251699.72899041552,-97241.79294393292,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:31.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.3347519386876385,-2.8571202275649554,1275554.4779210964,251701.07802541123,-97241.6917150775,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:36.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-12.082066457434998,-7.470670871622318,1275554.4780516275,251702.4270584983,-97241.59048572136,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:41.617,14.187418170150057,359.96957388303264,37.667532797639545,0.2525042447920201,359.17604868467936,30.566783946154413,-359.96957388303264,-5.211732609109802,-5.439553151969328,1275554.478182511,251703.77608973207,-97241.48925571553,1544613.379511222,2566666.666666667,4111280.046177889,0.017797758673476067,360.0483926041249
2025-07-03 00:09:46.617,15.559540958378404,358.27555728434936,37.90612470683706,0.2938250499767714,351.6354401141957,23.35745155665565,-358.27555728434936,-10.847842755567749,-7.247709569525163,1275554.4783138586,251705.12517300204,-97241.38802112053,1544613.379511222,2566666.666666667,4111280.046177889,0.01888391506939376,358.5130122239147
2025-07-03 00:09:51.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.475457098034454,-6.618737587065127,1275554.478445655,251706.4742004624,-97241.28679006272,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:56.617,16.09180510600603,355.2143978630665,40.14822822379691,0.2847395941679845,348.72448944432506,24.678101513844844,-355.2143978630665,-0.7900933472057616,-8.441325873848676,1275554.4785778082,251707.8232260419,-97241.18555840774,1544613.379511222,2566666.666666667,4111280.046177889,0.01769469567225305,355.3155621123661
2025-07-03 00:10:01.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-4.276977620299746,-8.769335508648084,1275554.4787104367,251709.1722767164,-97241.08432418318,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:10:06.617,14.191443012604587,348.4289679047652,33.24067639686342,0.2394654041111957,344.245760263533,19.744899267343087,-348.4289679047652,0.2543284338593281,-9.107911647560996,1275554.4788435437,251710.52127151235,-97240.98309344618,1544613.379511222,2566666.666666667,4111280.046177889,0.01687392916270085,348.54808048920876
2025-07-03 00:10:11.617,13.914806939227512,347.2727314437347,32.768872544862056,0.2562586264466834,343.2988261439047,20.599511151692028,-347.2727314437347,-5.20016796661448,-10.212017217977504,1275554.4789770662,251711.87034540027,-97240.8818560653,1544613.379511222,2566666.666666667,4111280.046177889,0.018416254538484438,347.4617634315085
2025-07-03 00:10:16.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.2281733098595993,-9.539711054013893,1275554.4791110028,251713.2193634296,-97240.78062217544,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
